feature,importance
realized_vol_5,0.245798322061948
realized_vol_20,0.1730726250364437
vol_lag_1,0.11724952357462941
bb_percent_b,0.04431255626691726
MSFT_vol5,0.04086727946617825
macd,0.03521567428100856
macd_hist,0.03395600486691941
volume_ratio_20,0.023893694379154572
bb_width,0.020251900390776227
rsi_14,0.019013422731957053
macd_signal,0.015234839884418525
adj_close,0.010212210128972487
vol_lag_16,0.009635669732131695
realized_vol_10,0.008884628938464997
vol_lag_30,0.008831041831618737
vol_lag_2,0.008270851138932452
vol_lag_15,0.008170385770336842
volume_ma_20,0.00650096928819931
vol_lag_14,0.006487585793226977
TSLA_vol5,0.006204030365725318
vol_lag_17,0.005284424737370693
GOOGL_vol5,0.005283071571863313
vol_lag_13,0.004851165306060141
vol_lag_23,0.004795042456122285
vol_lag_19,0.004704643863661204
AMZN_vol5,0.0044922171797875474
vol_lag_18,0.0044715030293838096
AAPL_vol5,0.004458173557045153
META_vol5,0.0043990275500795355
vol_lag_8,0.004347914689221973
vol_lag_22,0.004312088475711808
log_return,0.004124840927698329
volume_ratio_5,0.004062627260718227
vol_lag_20,0.004019565172082836
vol_lag_29,0.003887626868001729
return_lag_25,0.0038630576831237434
volume_ma_5,0.003798135593526244
vol_lag_25,0.0037729340043498815
vol_lag_27,0.003623595254027571
vol_lag_24,0.0036198231088704525
vol_lag_21,0.0033287110697846557
vol_lag_28,0.0033175934666965726
vol_lag_3,0.0032251519704414567
vol_lag_10,0.0031025858084568815
NVDA_vol5,0.0028836804828801816
vol_lag_4,0.00284234236286062
vol_lag_26,0.002794992413879091
vol_lag_11,0.0025811261333973452
vol_lag_12,0.0023741994582126683
return_lag_23,0.002155584180048564
vol_lag_5,0.002123544748585253
return_lag_28,0.0019795473439804256
return_lag_24,0.001972084279001911
return_lag_27,0.0019199586952637947
return_lag_7,0.0018956214512712846
return_lag_1,0.0018601996574854822
vol_lag_9,0.0018351920431079346
return_lag_19,0.0017656528624349684
return_lag_26,0.0017119842461770858
return_lag_8,0.0016886483930106998
vol_lag_6,0.0016218104384941837
vol_lag_7,0.001523235568207873
return_lag_6,0.0014490995846352553
return_lag_13,0.0014320526400431256
return_lag_17,0.0014062645715715732
return_lag_21,0.0012636209551294903
return_lag_12,0.0012313000120928084
return_lag_22,0.0011891026607285496
return_lag_11,0.001178537645876536
return_lag_29,0.0011746500008045192
return_lag_5,0.0011691807393295155
return_lag_15,0.0010600691750306784
return_lag_30,0.0010489420484277704
return_lag_14,0.0010243891451732637
return_lag_18,0.000996897971891781
return_lag_20,0.0009358640128217983
return_lag_16,0.0009346833476884449
return_lag_9,0.000896877218705753
return_lag_10,0.0007723892502037289
return_lag_4,0.0007130661445754239
return_lag_3,0.0006999282188527254
return_lag_2,0.0006849433660717654
